name,link
"A fib (See: A fib, also known asAtrial fibrillation)",https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624
Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688
"Abnormally excessive sweating (See: Abnormally excessive sweating, also known asHyperhidrosis)",https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152
"Abscess, Bartholin's (See: Abscess, Bartholin's, also known asBartholin's cyst)",https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976
Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683
"AC joint separation (See: AC joint separation, also known asSeparated shoulder)",https://www.mayoclinic.org/diseases-conditions/separated-shoulder/symptoms-causes/syc-20354049
Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983
Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850
Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020
Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234
"Acid reflux (See: Acid reflux, also known asGastroesophageal reflux disease (GERD))",https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940
"Acid reflux, infant (See: Acid reflux, infant, also known asInfant reflux)",https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408
ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738
Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047
Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127
"Acquired immunodeficiency syndrome (See: Acquired immunodeficiency syndrome, also known asHIV/AIDS)",https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524
Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222
"Acromioclavicular joint separation (See: Acromioclavicular joint separation, also known asSeparated shoulder)",https://www.mayoclinic.org/diseases-conditions/separated-shoulder/symptoms-causes/syc-20354049
Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969
Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136
"Acute febrile neutrophilic dermatosis (See: Acute febrile neutrophilic dermatosis, also known asSweet's syndrome)",https://www.mayoclinic.org/diseases-conditions/sweets-syndrome/symptoms-causes/syc-20351117
"Acute inflammatory demyelinating polyneuropathy (See: Acute inflammatory demyelinating polyneuropathy, also known asGuillain-Barre syndrome)",https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793
Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048
Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863
"Acute lymphoblastic leukemia (See: Acute lymphoblastic leukemia, also known asAcute lymphocytic leukemia)",https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077
Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077
"Acute lymphoid leukemia (See: Acute lymphoid leukemia, also known asAcute lymphocytic leukemia)",https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109
"Acute radiation sickness (See: Acute radiation sickness, also known asRadiation sickness)",https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058
"Acute radiation syndrome (See: Acute radiation syndrome, also known asRadiation sickness)",https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058
"Acute renal failure (See: Acute renal failure, also known asAcute kidney failure)",https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048
"Acute respiratory distress syndrome (See: Acute respiratory distress syndrome, also known asARDS)",https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576
Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671
"Addiction, alcohol (See: Addiction, alcohol, also known asAlcohol use disorder)",https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243
"Addiction, drug (See: Addiction, drug, also known asDrug addiction (substance use disorder))",https://www.mayoclinic.org/diseases-conditions/drug-addiction/symptoms-causes/syc-20365112
"Addiction, gambling (See: Addiction, gambling, also known asCompulsive gambling)",https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178
"Addiction, nicotine (See: Addiction, nicotine, also known asNicotine dependence)",https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584
